Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Madhya Pradesh,1,260,Smt. Yashodhara Raje Scindia,GWALIOR,GWALIOR,21.53,16.53,5,-0.03,1.25,1,2013-2014,21-02-2014,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Madhya Pradesh,1,261,Shri Uday Pratap Singh,HOSHANGABAD,HOSHANGABAD,19.03,19.03,0,3.12,4.74,2,2013-2014,8/1/15,2.5,,,2009,2014,15
Maharashtra,1,262,Shri Anant Gangaram Geete,RAIGAD,RAIGAD,21.85,19.35,2.5,2.13,2.29,2,2013-2014,13-10-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,263,Dr. Padamsinha Bajirao Patil,OSMANABAD,OSMANABAD,21.85,19.35,2.5,1.79,0,2,2013-2014,5/6/15,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,264,Dr. Nilesh Narayan Rane,RATNAGIRI-SINDHUDURG,SINDHUDURG,21.85,19.35,2.5,0.47,0.82,2,2013-2014,9/3/15,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,265,Dr. Sanjeev Ganesh Naik,THANE,THANE,19.35,19.35,0,2.42,0,2,2013-2014,26-03-2015,2.5,,,2009,2014,15
Maharashtra,1,266,Shri Anand Prakash Paranjpe,KALYAN,THANE,21.85,19.35,2.5,1.24,0,2,2013-2014,13-03-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Maharashtra,1,267,Shri A. T. Nana Patil,JALGAON,JALGAON,19.35,19.35,0,1.2,0,2,2013-2014,7/7/15,2.5,,,2009,2014,15
Maharashtra,1,268,Shri Anandrao Vithoba Adsul,AMRAVATI(SC),AMRAVATI,19.35,19.35,0,0.13,4.41,2,2013-2014,5/12/14,2.5,,,2009,2014,15
Maharashtra,1,269,Shri Baliram Sukur Jadhav,PALGHAR(ST),THANE,21.85,19.35,2.5,0.6,0,2,2013-2014,10/4/15,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,270,Shri Bhausaheb Rajaram Wakchaure,SHIRDI(SC),AHMADNAGAR,21.85,19.35,2.5,0.88,0.35,2,2013-2014,26-03-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,271,Shri Chandrakant Bhaurao Khaire,AURANGABAD,AURANGABAD,21.85,19.35,2.5,0.11,1.12,2,2013-2014,20-01-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Maharashtra,1,272,Shri Datta Raghobaji Meghe,WARDHA,WARDHA,19.35,19.35,0,-0.83,2.14,2,2013-2014,16-11-2015,2.5,,,2009,2014,15
Maharashtra,1,273,Shri Hansraj Gangaram Ahir,CHANDRAPUR,CHANDRAPUR,21.85,19.35,2.5,0.01,0,2,2013-2014,28-04-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,274,Shri Gajanan Dharmshi Babar,MAVAL,PUNE,19.35,19.35,0,0.22,0.25,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
Maharashtra,1,275,Shri Bhaskarrao Bapurao Khatgaonkar Patil,NANDED,NANDED,21.85,19.35,2.5,0.04,1.43,2,2013-2014,5/6/15,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Maharashtra,1,276,Shri Harishchandra Deoram Chavan,DINDORI(ST),NASHIK,21.85,19.35,2.5,1.61,0,2,2013-2014,23-06-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,277,Shri Jaywant Gangaram Awale,LATUR(SC),LATUR,21.85,19.35,2.5,0.31,0.99,2,2013-2014,27-04-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Maharashtra,1,278,Shri Eknath Mahadeo Gaikwad,MUMBAI SOUTH CENTRAL,MUMBAI CITY,19.35,19.35,0,0.9,3.67,2,2013-2014,30-10-2015,2.5,,,2009,2014,15
Maharashtra,1,279,Shri Ganeshrao Nagorao Dudhgaonkar,PARBHANI,PARBHANI,21.85,19.35,2.5,0.55,1.53,2,2013-2014,7/8/14,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,280,Shri Gurudas Vasant Kamat,MUMBAI NORTH WEST,MUMBAI SUBURBAN,21.85,19.35,2.5,0.67,0,2,2013-2014,1/3/17,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Maharashtra,1,281,Shri Dilipkumar Mansukhlal Gandhi,AHMEDNAGAR,AHMADNAGAR,19.35,19.35,0,1.81,0.35,2,2013-2014,7/11/14,2.5,,,2009,2014,15
Maharashtra,1,282,Shri Gopinath Pandurang Munde,BEED,BEED,21.85,19.35,2.5,0.36,2.37,2,2013-2014,13-03-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,283,Shri Marotrao Sainuji Kowase,GADCHIROLI-CHIMUR(ST),GARCHIROLI,21.85,19.35,2.5,2.13,0,2,2013-2014,19-06-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,284,Shri Haribhau Madhav Jawale,RAVER,JALGAON,19.35,19.35,0,0.94,0,2,2013-2014,7/7/15,2.5,,,2009,2014,15
Maharashtra,1,285,Shri Manikrao Hodlya Gavit,NANDURBAR(ST),NANDURBAR,21.85,19.35,2.5,0.61,0,2,2013-2014,24-07-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Maharashtra,1,286,Shri Prataprao Ganpatrao Jadhav,BULDHANA,BULDANA,19.35,19.35,0,0.83,2.31,2,2013-2014,26-03-2015,2.5,,,2009,2014,15
Maharashtra,1,287,Shri Pratap Narayanrao Sonawane,DHULE,DHULE,21.85,19.35,2.5,0.09,3.36,2,2013-2014,12/3/15,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,288,Shri Milind Murli Deora,MUMBAI SOUTH,MUMBAI CITY,21.85,16.85,5,1.7,1.97,1,2013-2014,30-10-2015,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2011-2012",,2009,2014,15
Maharashtra,1,289,Shri Raju Alias Devappa Anna Shetti,HATKANANGLE,KOLHAPUR,21.85,19.35,2.5,0.06,0.62,2,2013-2014,18-05-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,290,Shri Pratik Prakashbapu Patil,SANGLI,SANGLI,21.85,19.35,2.5,0.62,2.09,2,2013-2014,29-04-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,291,Shri Praful Manoharbhai Patel,BHANDARA-GONDIYA,GONDIA,21.85,19.35,2.5,0.23,3.66,2,2013-2014,10/11/15,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,292,Shri Sadashiv Rao Dadoba Mandlik,KOLHAPUR,KOLHAPUR,19.35,19.35,0,0.17,1.1,2,2013-2014,18-05-2015,2.5,,,2009,2014,15
Maharashtra,1,293,Shri Shivaji Adhalrao Patil,SHIRUR,PUNE,19.35,19.35,0,0.2,0.2,2,2013-2014,18-03-2015,2.5,,,2009,2014,15
Maharashtra,1,294,Shri Mukul Balkrishna Wasnik,RAMTEK(SC),NAGPUR,21.85,19.35,2.5,0.7,1.26,2,2013-2014,23-09-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,295,Shri Sanjay Nirupam,MUMBAI NORTH,MUMBAI SUBURBAN,19.35,19.35,0,0.53,0,2,2013-2014,5/8/15,2.5,,,2009,2014,15
Maharashtra,1,296,Shri Sameer Magan Bhujbal,NASHIK,NASHIK,21.85,19.35,2.5,1.4,0,2,2013-2014,26-03-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,297,Shri Sanjay Shamrao Dhotre,AKOLA,AKOLA,21.85,19.35,2.5,0.58,0,2,2013-2014,15-01-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,298,Shri Sanjay Dina Patil,MUMBAI NORTH EAST,MUMBAI SUBURBAN,21.85,19.35,2.5,0.43,0,2,2013-2014,22-09-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,299,Shri Sushil Kumar Sambhajirao Shinde,SOLAPUR(SC),SOLAPUR,21.85,16.85,5,-1.88,0.89,1,2013-2014,8/1/15,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2011-2012",,2009,2014,15
Maharashtra,1,300,Shri Raosaheb Danve Patil,JALNA,JALNA,21.85,19.35,2.5,0.72,2.52,2,2013-2014,3/3/15,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,301,Shri Subhash Bapurao Wankhede,HINGOLI,HINGOLI,21.85,19.35,2.5,1.78,-0.22,2,2013-2014,7/7/15,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Maharashtra,1,302,Shri Suresh Kalmadi,PUNE,PUNE,21.85,19.35,2.5,0.21,0.8,2,2013-2014,18-05-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,303,Shri Vilas Baburao Muttemwar,NAGPUR,NAGPUR,19.35,16.85,2.5,-2.23,0.51,1,2013-2014,2/1/15,2.5,2 / 2013-2014,,2009,2014,15
Maharashtra,1,304,Shri Sharad Chandra Govindrao Pawar,MADHA,SOLAPUR,21.85,16.85,5,-1.6,0,1,2013-2014,25-11-2014,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2011-2012",,2009,2014,15
Maharashtra,1,305,Shri Udayanraje Pratapsingh Bhonsle,SATARA,SATARA,19.35,19.35,0,1.65,0,2,2013-2014,24-03-2015,2.5,,,2009,2014,15
Maharashtra,1,306,Smt. Bhavana Gawali (Patil),YAVATMAL-WASHIM,YAVATMAL,21.85,19.35,2.5,0.48,2.43,2,2013-2014,13-03-2015,2.5,3 / 2013-2014,,2009,2014,15
Maharashtra,1,307,Shri Suresh Kashinath Taware,BHIWANDI,THANE,21.85,19.35,2.5,1.34,0,2,2013-2014,26-03-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Maharashtra,1,308,Smt. Supriya Sadanand Sule,BARAMATI,PUNE,19.35,19.35,0,0.38,1.43,2,2013-2014,2/1/15,2.5,,,2009,2014,15
Maharashtra,1,309,Smt. Priya Sunil Dutt,MUMBAI NORTH-CENTRAL,MUMBAI SUBURBAN,19.35,19.35,0,0.64,0,2,2013-2014,21-09-2015,2.5,,,2009,2014,15
Manipur,1,310,Dr. Thokchom Meinya,INNER MANIPUR,IMPHAL WEST,21.5,19,2.5,0.31,0,2,2013-2014,3/10/13,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Manipur,1,311,Shri Thangso Baite,OUTER MANIPUR(ST),CHURACHANDPUR,21.5,19,2.5,0.02,0,2,2013-2014,22-11-2013,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Meghalaya,1,312,Km. Agatha K. Sangma,TURA,WEST GARO HILLS,19,19,0,0.07,0,2,2013-2014,2/6/14,2.5,,,2009,2014,15
Meghalaya,1,313,Shri Vincent H Pala,SHILLONG,EAST KHASI HILLS,19,19,0,1.27,0,2,2013-2014,18-12-2013,2.5,,,2009,2014,15
Mizoram,1,314,Shri C. L. Ruala,MIZORAM (ST),AIZAWL,19,19,0,0.01,0,2,2013-2014,14-02-2014,2.5,,,2009,2014,15
Nagaland,1,315,Shri C. M. Chang,NAGALAND,DIMAPUR,21.5,19,2.5,2.51,2.51,2,2013-2014,9/10/13,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Nominated,1,316,Shri B. Atkinson Denzil,,JAIPUR,12.5,,,0,0,,,,0,"1 / 2009-2010,1 / 2010-2011,1 / 2011-2012,1 / 2012-2013,1 / 2013-2014,2 / 2013-2014,2 / 2012-2013,2 / 2011-2012,2 / 2010-2011,2 / 2009-2010,3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Nominated,1,317,Dr. Charles Dias,CENTRAL1,ERNAKULAM,19,19,0,0.22,0.83,2,2013-2014,17-12-2014,2.5,,,2009,2014,15
Nominated,1,318,Smt. Ingrid Mcleod,CENTRAL2,BILASPUR,19,19,0,0.22,0.23,2,2013-2014,14-02-2014,2.5,,,2009,2014,15
Odisha,1,319,Shri Amarnath Pradhan,SAMBALPUR,SAMBALPUR,19,19,0,0.03,0.89,2,2013-2014,19-02-2014,2.5,,,2009,2014,15
Odisha,1,320,Dr. Prasanna Kumar Patasani,BHUBANESWAR,KHORDHA,19,19,0,0.02,1,2,2013-2014,25-02-2014,2.5,,,2009,2014,15
Odisha,1,321,"Shri Baijayant ""Jay"" Panda",KENDRAPARA,KENDRAPARA,21.5,19,2.5,0.32,2.53,2,2013-2014,1/1/16,2.5,3 / 2013-2014,,2009,2014,15
Odisha,1,322,Shri Bibhu Prasad Tarai,JAGATSINGHPUR(SC),JAGATSINGHPUR,21.5,19,2.5,1.63,0,2,2013-2014,19-02-2014,2.5,3 / 2013-2014,,2009,2014,15
Odisha,1,323,Shri Arjun Charan Sethi,BHADRAK(SC),BHADRAK,19,19,0,2.5,4.94,2,2013-2014,12/2/14,2.5,,,2009,2014,15
Odisha,1,324,Shri Bhartruhari Mahtab,CUTTACK,CUTTACK,21.5,19,2.5,2.52,0,2,2013-2014,5/11/14,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Odisha,1,325,Shri Bhakta Charan Das,KALAHANDI,KALAHANDI,21.5,19,2.5,3.46,4.9,2,2013-2014,17-09-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Odisha,1,326,Shri Hemanand Biswal,SUNDARGARH (ST),SUNDARGARH,21.5,19,2.5,0.19,0,2,2013-2014,30-06-2014,2.5,3 / 2013-2014,,2009,2014,15
Odisha,1,327,Shri Jayaram Pangi,KORAPUT(ST),RAYAGADA,19,16.5,2.5,0.23,0.95,1,2013-2014,23-01-2015,2.5,2 / 2013-2014,,2009,2014,15
Odisha,1,328,Shri Mohan Jena,JAJPUR(SC),JAJPUR,21.5,19,2.5,0.39,0,2,2013-2014,18-11-2014,2.5,3 / 2013-2014,,2009,2014,15
Odisha,1,329,Shri Kalikesh Narayan Singh Deo,BOLANGIR,BOLANGIR,19,19,0,-2.79,-0.44,2,2013-2014,24-02-2014,2.5,,,2009,2014,15
Odisha,1,330,Shri Laxman Tudu,MAYURBHANJ (ST),MAYURBHANJ,21.5,19,2.5,0,0.71,2,2013-2014,28-11-2013,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Odisha,1,331,Shri Nityananda Pradhan,ASKA,GANJAM,19,19,0,0.53,0.53,2,2013-2014,21-04-2015,2.5,,,2009,2014,15
Odisha,1,332,Shri Pinaki Misra,PURI,PURI,21.5,19,2.5,1.15,-0.24,2,2013-2014,24-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Odisha,1,333,Shri Rudra Madhab Ray,KANDHAMAL,KANDHAMAL,21.5,19,2.5,0.17,4.08,2,2013-2014,22-01-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Odisha,1,334,Shri Pradeep Majhi,NABARANGPUR)ST),NABARANGPUR,21.5,16.5,5,3.51,0,1,2013-2014,29-01-2014,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2010-2011,3 / 2011-2012",,2009,2014,15
Odisha,1,335,Shri Srikant Kumar Jena,BALASORE,BALASORE,21.5,19,2.5,0.1,2.2,2,2013-2014,17-01-2014,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Odisha,1,336,Shri Sidhant Mohapatra,BERHAMPUR,GANJAM,19,19,0,0.71,0.71,2,2013-2014,6/8/15,2.5,,,2009,2014,15
Odisha,1,337,Shri Sunjay Bhoi,BARGARH,BARAGARH,21.5,16.5,5,0,0,1,2013-2014,26-12-2014,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2010-2011",,2009,2014,15
Odisha,1,338,Shri Tathagata Satpathy,DHENKANAL,DHENKANAL,21.5,19,2.5,3.59,0,2,2013-2014,2/2/16,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Odisha,1,339,Shri Yashbant Narayan Singh Laguri,KEONJHAR(ST),KEONJHAR,21.5,19,2.5,1.23,2.98,2,2013-2014,12/1/15,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Puducherry,1,340,Shri V. Narayanasamy,PONDICHERRY,PONDICHERRY,22.5,20,2.5,-0.02,0,2,2013-2014,16-11-2015,2.5,3 / 2013-2014,,2009,2014,15
Punjab,1,341,Dr. Rattan Singh Ajnala,KHADOOR SAHIB,TARN TARAN,21.5,19,2.5,1.07,0,2,2013-2014,7/11/13,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Punjab,1,342,Shri Navjot Singh Sidhu,AMRITSAR,AMRITSAR,21.5,19,2.5,0,0,2,2013-2014,21-10-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Punjab,1,343,Shri Manish Tewari,LUDHIANA,LUDHIANA,21.5,19,2.5,1.14,0,2,2013-2014,20-01-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Punjab,1,344,Shri Mohinder Singh Kaypee,JALANDHAR(SC),JALANDHAR,19,19,0,1,1.09,2,2013-2014,28-08-2014,2.5,,,2009,2014,15
Punjab,1,345,Shri Sher Singh Ghubaya,FIROZPUR,FIROZEPUR,19,19,0,0.55,0,2,2013-2014,16-12-2013,2.5,,,2009,2014,15
Punjab,1,346,Shri Partap Singh Bajwa,GURDASPUR,GURDASPUR,19,19,0,0.01,0,2,2013-2014,17-12-2014,2.5,,,2009,2014,15
Punjab,1,347,Shri Vijay Inder Singla,SANGRUR,SANGRUR,21.5,19,2.5,0.44,0.95,2,2013-2014,29-01-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Punjab,1,348,Shri Ravneet Singh,ANANDPUR SAHIB,RUPNAGAR,19,19,0,0.73,0,2,2013-2014,6/12/13,2.5,,,2009,2014,15
Punjab,1,349,Shri Sukhdev Singh Libra,FATEHGARH SAHIB(SC),FATEHGARH SAHIB,19,19,0,1.44,0,2,2013-2014,28-08-2014,2.5,,,2009,2014,15
Punjab,1,350,Smt. Paramjit Kaur Gulshan,FARIDKOT(SC),FARIDKOT,21.5,19,2.5,0.28,0,2,2013-2014,27-11-2013,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Punjab,1,351,Smt. Preneet Kaur,PATIALA,PATIALA,21.5,19,2.5,0.48,0,2,2013-2014,27-11-2013,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Punjab,1,352,Smt. Santosh Chowdhary,HOSHIARPUR(SC),HOSHIARPUR,21.5,19,2.5,0.33,0,2,2013-2014,27-11-2013,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Punjab,1,353,Smt. Harsimrat Kaur Badal,BHATINDA,BHATINDA,19,19,0,0.06,0,2,2013-2014,3/12/13,2.5,,,2009,2014,15
Rajasthan,1,354,Dr. Jyoti Mirdha,NAGAUR,NAGAUR,21.5,19,2.5,0.2,2.65,2,2013-2014,29-05-2015,2.5,3 / 2013-2014,,2009,2014,15
Rajasthan,1,355,Shri Bharat Ram Meghwal,GANGANAGAR(SC),SRIGANGANAGAR,19,19,0,0.14,0.84,2,2013-2014,27-02-2014,2.5,,,2009,2014,15
Rajasthan,1,356,Shri Arjun Ram Meghwal,BIKANER(SC),BIKANER,21.5,19,2.5,-0.22,0.39,2,2013-2014,28-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Rajasthan,1,357,Shri Badri Ram Jakhar,PALI,JODHPUR,21.5,19,2.5,0.32,0.81,2,2013-2014,28-03-2016,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Rajasthan,1,358,Dr. C. P. Joshi,BHILWARA,BHILWARA,21.5,19,2.5,0.66,0.69,2,2013-2014,14-10-2014,2.5,3 / 2013-2014,,2009,2014,15
Rajasthan,1,359,Dr. Girija Vyas,CHITTORGARH,CHITTORGARH,19,19,0,0.33,0.83,2,2013-2014,25-02-2014,2.5,,,2009,2014,15
Rajasthan,1,360,Dr. Mahesh Joshi,JAIPUR,JAIPUR,21.5,19,2.5,-0.02,2.72,2,2013-2014,9/3/15,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Rajasthan,1,361,Shri Devji Mansingram Patel,JALORE,JALORE,21.5,19,2.5,1.75,0,2,2013-2014,18-02-2015,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Rajasthan,1,362,Shri Dushyant Singh,JHALAWAR-BARAN,JHALAWAR,19,19,0,0.42,2.64,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
Rajasthan,1,363,Shri Ijyaraj Singh,KOTA,KOTA,21.5,19,2.5,1.81,4.91,2,2013-2014,25-11-2014,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Rajasthan,1,364,Shri Jitendra Singh,ALWAR,ALWAR,21.5,19,2.5,0.52,1.51,2,2013-2014,3/7/15,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Rajasthan,1,365,Shri Gopal Singh Shekhawat,RAJSAMAND,RAJSAMAND,19,19,0,1.03,0,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
Rajasthan,1,366,Shri Harish Choudhary,BARMER,BARMER,21.5,19,2.5,3.04,0,2,2013-2014,4/11/15,2.5,3 / 2013-2014,,2009,2014,15
Rajasthan,1,367,Shri Khiladi Lal Bairwa,KARAULI-DHOLPUR(SC),KARAULI,21.5,19,2.5,1.79,4.68,2,2013-2014,20-03-2015,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Rajasthan,1,368,Shri Kirodi Lal Meena,DAUSA(ST),DAUSA,21.5,19,2.5,-0.06,3.48,2,2013-2014,26-12-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Rajasthan,1,369,Shri Mahadeo Singh Khandela,SIKAR,SIKAR,19,19,0,1.01,1.76,2,2013-2014,19-02-2014,2.5,,,2009,2014,15
Rajasthan,1,370,Shri Namo Narain Meena,TONK-SAWAI MADHOPUR,SAWAIMADHOPUR,19,19,0,3.52,0,2,2013-2014,30-12-2013,2.5,,,2009,2014,15
Rajasthan,1,371,Shri Lal Chand Kataria,JAIPUR RURAL,JAIPUR,21.5,19,2.5,0.43,2.53,2,2013-2014,21-04-2015,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Rajasthan,1,372,Shri Raghuvir Singh Meena,UDAIPUR(ST),UDAIPUR,21.5,19,2.5,0.75,1.1,2,2013-2014,22-01-2014,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Rajasthan,1,373,Shri Ratan Singh,BHARATPUR(SC),BHARATPUR,21.5,19,2.5,0.56,3.47,2,2013-2014,4/3/14,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Rajasthan,1,374,Shri Sachin Pilot,AJMER,AJMER,21.5,19,2.5,0.59,2.7,2,2013-2014,12/6/15,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Rajasthan,1,375,Shri Ram Singh Kaswan,CHURU,CHURU,19,19,0,0.48,0.76,2,2013-2014,27-02-2014,2.5,,,2009,2014,15
Rajasthan,1,376,Shri Sheesh Ram Ola,JHUNJHUNU,JHUNJHUNU,16.5,16.5,0,0.41,0.41,1,2013-2014,11/7/13,2.5,,,2009,2014,15
Rajasthan,1,377,Smt. Chandresh Kumari Katoch,JODHPUR,JODHPUR,21.5,19,2.5,2.3,2.5,2,2013-2014,26-12-2014,2.5,3 / 2013-2014,,2009,2014,15
Rajasthan,1,378,Shri Tarachand Bhagora,BANSWARA(ST),BANSWARA,21.5,19,2.5,0.05,2.55,2,2013-2014,2/1/15,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Sikkim,1,379,Shri Prem Das Rai,SIKKIM,EAST DISTRICT,19,19,0,0.94,0,2,2013-2014,14-02-2014,2.5,,,2009,2014,15
Tamil Nadu,1,380,Shri A.K.S. Vijayan,NAGAPATTINAM(SC),THIRUVARUR,21.53,19.03,2.5,0.3,0,2,2013-2014,10/7/14,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,381,Shri Abdul Rahman Rahman,VELLORE,VELLORE,21.53,19.03,2.5,0.49,0,2,2013-2014,28-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,382,Shri Adhi Sankar,KALLAKURICHI,VILLUPURAM,16.53,16.53,0,-2.02,0.42,1,2013-2014,11/12/13,2.5,,,2009,2014,15
Tamil Nadu,1,383,Shri Andimuthu Raja,NILGIRIS(SC),NILGIRIS,21.53,19.03,2.5,0.35,0,2,2013-2014,3/3/15,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,384,Shri C. Rajendran,CHENNAI SOUTH,CHENNAI,21.53,16.53,5,0.14,0.69,1,2013-2014,15-07-2015,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Tamil Nadu,1,385,Shri D. Napoleon,PERAMBALUR,PERAMBALUR,21.53,19.03,2.5,0.74,0,2,2013-2014,29-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,386,Shri A. Ganeshamurthi,ERODE,ERODE,19.03,19.03,0,-0.29,0,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
Tamil Nadu,1,387,Dr. Ponnusamy Venugopal,TIRUVALLUR(SC),TIRUVALLUR,19.03,19.03,0,0.54,0,2,2013-2014,10/3/15,2.5,,,2009,2014,15
Tamil Nadu,1,388,Dr. S. Jagathrakshakan,ARAKKONAM,VELLORE,21.53,19.03,2.5,0.46,0,2,2013-2014,28-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,389,Dr. Munisamy Thambidurai,KARUR,KARUR,19.03,19.03,0,1.36,0,2,2013-2014,2/6/14,2.5,,,2009,2014,15
Tamil Nadu,1,390,Shri Danapal Venugopal,TIRUVANNAMALAI,TIRUVANNAMALAI,19.03,19.03,0,0.37,0,2,2013-2014,10/2/14,2.5,,,2009,2014,15
Tamil Nadu,1,391,Shri C. Sivasami,TIRUPPUR,TIRUPUR,19.03,19.03,0,0.97,0,2,2013-2014,28-07-2014,2.5,,,2009,2014,15
Tamil Nadu,1,392,Shri Dayanidhi Maran,CHENNAI CENTRAL,CHENNAI,19.03,11.53,7.5,3.71,0,2,2011-2012,8/1/15,2.5,"1 / 2013-2014,2 / 2013-2014,2 / 2012-2013",,2009,2014,15
Tamil Nadu,1,393,Shri E.G. Sugavanam,KRISHNAGIRI,KRISHNAGIRI,21.53,19.03,2.5,1.67,0,2,2013-2014,2/6/14,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,394,Shri J.M. Aaroon Rasheed,THENI,THENI,21.53,19.03,2.5,0.98,0,2,2013-2014,12/3/15,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Tamil Nadu,1,395,Shri K.J. K. Ritheesh Shivakumar,RAMANATHAPURAM,RAMANATHAPURAM,21.53,19.03,2.5,0.65,0,2,2013-2014,6/6/14,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
