Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Andhra Pradesh,1,41,Smt. Daggubati Purandeswari,VISAKHAPATNAM,VISAKHAPATNAM,19,19,0,0.37,1.02,2,2013-2014,10/2/14,2.5,,,2009,2014,15
Andhra Pradesh,1,42,SHRI. Sarvey Sathyanarayana,MALKAJGIRI,RANGAREDDY,21.5,19,2.5,1.19,0,2,2013-2014,18-05-2015,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,43,Smt. M. Vijaya Shanthi,MEDAK,MEDAK,21.5,19,2.5,1.19,0,2,2013-2014,16-07-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Arunachal Pradesh,1,44,Shri Ninong Ering,ARUNACHAL EAST,LOHIT,19,19,0,0,0,2,2013-2014,14-02-2014,2.5,,,2009,2014,15
Arunachal Pradesh,1,45,Shri Takam Sanjoy,ARUNACHAL WEST,WEST SIANG,19,19,0,0.09,0.09,2,2013-2014,5/2/14,2.5,,,2009,2014,15
Assam,1,46,Dr Biren Singh Engtig,AUTONOMOUS DISTRICT(ST),KARBI ANGLONG,16.5,16.5,0,0.16,1.19,1,2013-2014,29-05-2015,2.5,,,2009,2014,15
Assam,1,47,Maulana Badruddin Ajmal,DHUBRI,DHUBRI,19,19,0,0.18,2.01,2,2013-2014,21-10-2014,2.5,,,2009,2014,15
Assam,1,48,Shri Bijoy Krishna Handique,JORHAT,JORHAT,21.5,19,2.5,2.08,2.08,2,2013-2014,29-01-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Assam,1,49,Shri Dip Gogoi,KALIABOR,NOWGONG,16.5,16.5,0,0.29,1.99,1,2013-2014,18-03-2015,2.5,,,2009,2014,15
Assam,1,50,Shri Ismail Hussain,BARPETA,BARPETA,21.5,19,2.5,0.03,0.39,2,2013-2014,18-05-2015,2.5,3 / 2013-2014,,2009,2014,15
Assam,1,51,Shri Joseph Toppo,TEZPUR,SONITPUR,21.5,19,2.5,2.53,3.83,2,2013-2014,6/9/16,2.5,3 / 2013-2014,"Audit Certificate Pending, Bank Statement Awaited, Eligible MPR not Received, Utilisation Certificate Pending.",2009,2014,15
Assam,1,52,Shri Lalit Mohan Suklabaidya,KARIMGANJ (SC),KARIM GANJ,19,19,0,0.05,0,2,2013-2014,6/2/14,2.5,,,2009,2014,15
Assam,1,53,Shri Paban Singh Ghatowar,DIBRUGARH,DIBRUGARH,19,19,0,0.45,1.29,2,2013-2014,13-02-2014,2.5,,,2009,2014,15
Assam,1,54,Shri Kabindra Purkayastha,SILCHAR,CACHAR,21.5,19,2.5,0,0.21,2,2013-2014,3/1/14,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Assam,1,55,Shri Rajen Gohain,NOWGONG,NOWGONG,19,19,0,3.45,4.37,2,2013-2014,8/1/14,2.5,,,2009,2014,15
Assam,1,56,Shri Sansuma Khunggur Bwismuthiary,KOKRAJHAR (ST),KOKRAJHAR,19,19,0,0,0.25,2,2013-2014,20-08-2015,2.5,,,2009,2014,15
Assam,1,57,Shri Ramen Deka,MANGALDOI,DARRANG,21.5,19,2.5,0.35,0.93,2,2013-2014,8/1/14,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014","Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2009,2014,15
Assam,1,58,Smt. Ranee Narah,LAKHIMPUR,LAKHIMPUR,19,19,0,0.07,0.09,2,2013-2014,7/1/14,2.5,,,2009,2014,15
Assam,1,59,Smt. Bijoya Chakravarty,GUWAHATI,KAMRUP METROPOLITAN,21.5,19,2.5,2.56,4.67,2,2013-2014,11/11/13,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Bihar,1,60,Dr. Sanjay Jaiswal,PASCHIM CHAMPARAN,BETTIAH (W.CHAMPARAN),19.48,19.48,0,-0.52,0,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
Bihar,1,61,Shri Baidyanath Prasad Mahto,VALMIKI NAGAR,BETTIAH (W.CHAMPARAN),19.48,19.48,0,-0.37,0,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
