Sl No,MP Name,Constituency ,Entitlement,FundReceivedGOI,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UtilizationOverRelease,UnspentBalance
292, Navneet Ravi Rana, AMRAVATI(SC),17,9.5,9.7808,30.5665,11.1281,7.8119,80.230526,1.9689
293, Sadashiv Kisan Lokhande, SHIRDI(SC),17,9.5,9.6612,16.73,12.5237,7.8552,80.686316,1.806
294, Raksha Nikhil Khadse, RAVER,17,7,7.2486,10.0614,6.7587,5.9138,82.482857,1.3348
295, Ranjeetsinha Hindurao Naik Nimbalkar, MADHA,17,7,7.372,17.8664,8.8741,5.5785,77.692857,1.7935
296, Unmesh Bhaiyyasaheb Patil, JALGAON,17,7,7.255,9.7391,8.9495,5.1779,71.97,2.0771
297, Vinayak Bhaurao Raut, RATNAGIRI-SINDHUDURG,17,9.5,13.1169,33.176,18.7062,10.5407,108.954737,2.5762
298, Kapil Moreshwar Patil, BHIWANDI,17,9.5,9.9021,12.8187,9.2956,7.3968,76.808421,2.5053
299, Bharti Pravin Pawar, DINDORI(ST),17,7,7.3633,12.3,11.2931,6.05,86.428571,1.3133
300, Ranjan Singh Rajkumar, INNER MANIPUR,17,7,7.1153,6.974,6.836,6.976,97.657143,0.1393
301, Lorho S. Pfoze, OUTER MANIPUR(ST),17,9.5,9.6015,10.257,9.37,9.5528,98.555789,0.0487
302, Vincent H Pala, SHILLONG,17,9.5,11.1356,13.635,10.635,10.47,108.210526,0.6656
303, Agatha K. Sangma, TURA,17,7,7.1265,6.89,6.61,6.5792,91.988571,0.5473
304, C Lalrosanga, MIZORAM (ST),17,9.5,9.5524,9.31,9.31,9.3351,96.105263,0.2173
305, Tokheho Yepthomi, NAGALAND,17,12,12.0259,11.76,11.76,12.024,98.2,0.0019
306, Mahesh Sahoo, DHENKANAL,17,9.5,13.8411,24.8654,14.0072,12.9407,134.217895,0.9004
307, Rajashree Mallick, JAGATSINGHPUR(SC),17,7,7.4278,6.86,6.3328,4.5954,63.648571,2.8324
308, Bishweswar Tudu, MAYURBHANJ (ST),17,9.5,9.7098,18.8585,9.31,7.0644,72.362105,2.6454
309, Nitesh Ganga Deb, SAMBALPUR,24.5,9.5,10.9087,14.915,10.67,8.4521,86.969474,2.4566
310, Manjulata Mandal, BHADRAK(SC),17,12,13.3565,16.21,13.1057,11.1636,91.03,2.1929
311, Pramila Bisoyi, ASKA,17,9.5,10.3164,12.5104,10.0273,7.514,77.094737,2.8024
312, Achyutananda Samanta, KANDHAMAL,17,9.5,9.6919,11.07,8.633,8.1276,83.553684,1.5643
313, Basanta Kumar Panda, KALAHANDI,17,7,7.2563,7.5,6.9045,6.0523,85.032857,1.204
314, Pinaki Misra, PURI,17,7,7.7763,7.3722,6.8272,6.6572,93.102857,1.1191
315, Jual Oram, SUNDARGARH (ST),17,7,7.4438,8.3401,7.114,5.8327,81.324286,1.6111
316, Chandra Sekhar Sahu, BERHAMPUR,17,9.5,10.0591,9.7591,9.1519,7.435,76.263158,2.6241
317, Chandrani Murmu, KEONJHAR(ST),17,7,7.2968,6.855,6.19,4.9937,69.338571,2.3031
318, Ramesh Chandra Majhi, NABARANGPUR(ST),17,9.5,11.0043,11.54,10.5091,9.1394,94.753684,1.8649
319, Aparajita Sarangi, BHUBANESWAR,17,9.5,9.684,16.4389,8.739,8.7,89.578947,0.984
320, Sangeeta Kumari Singh Deo, BOLANGIR,17,5,12.9142,24.1785,16.4585,10.0269,198.538,2.8873
321, Pratap Chandra Sarangi, BALASORE,17,7,7.2664,13.8288,7.0722,4.4597,62.281429,2.8067
322, Anubhav Mohanty, KENDRAPARA,19.5,9.5,14.923,25.3215,14.8338,12.7406,133.911579,2.1824
323, Suresh Pujari, BARGARH,17,9.5,9.8629,12.0625,9.66,7.7436,79.511579,2.1193
324, Sarmistha Sethi, JAJPUR(SC),17,9.5,9.708,9.9171,9.4513,7.6582,78.612632,2.0498
325, Bhartruhari Mahtab, CUTTACK,17,9.5,10.978,14.7732,10.2453,8.1915,84.226316,2.7865
326, Saptagiri Sankar Ulaka, KORAPUT(ST),17,9.5,12.0602,17.8946,11.2041,11.2965,116.910526,0.7637
327, Vaithilingam Ve., PONDICHERRY,17,7,7,22.7985,11.7012,5.0627,70.324286,1.9373
328, Amar Singh, FATEHGARH SAHIB(SC),17,9.5,10.937,15.3875,10.6241,8.1566,83.858947,2.7804
329, Gurjeet Singh Aujla, AMRITSAR,17,12,13.2694,13.0287,12.1011,11.4128,93.106667,1.8566
330, Simranjit Singh Mann, SANGRUR,10,2.5,2.7787,4.6174,1.8196,0.5283,19.132,2.2504
331, Santokh Singh Chaudhary, JALANDHAR(SC),17,7,7.8318,6.1585,5.3395,2.9567,40.81,4.8751
332, Sukhbir Singh Badal, FIROZPUR,17,9.5,9.9782,10.664,9.6659,8.2447,84.786316,1.7335
333, Manish Tewari, ANANDPUR SAHIB,17,9.5,10.979,12.1085,10.0421,8.1116,83.385263,2.8674
334, Harsimrat Kaur Badal, BHATINDA,17,7,8.938,12.5649,7.8914,7.175,100.5,1.763
335, Preneet Kaur, PATIALA,17,7,7.2274,7.0673,7.0673,6.6479,92.97,0.5795
336, Som Parkash, HOSHIARPUR(SC),17,7,7.4267,18.8949,7.6463,5.8614,81.734286,1.5653
337, Sunny Deol, GURDASPUR,17,7,7.2198,7.0222,7.0222,5.8454,81.505714,1.3744
338, Bhagwant Mann-Ex, SANGRUR,12,7,7.6488,8.2364,5.3892,2.7019,37.17,4.9469
339, Ravneet Singh, LUDHIANA,17,7,7.6905,10.3442,6.8733,4.9836,69.194286,2.7069
340, Jasbir Singh Gill, KHADOOR SAHIB,17,9.5,12.8279,12.6231,12.6231,10.8853,112.582105,1.9426
341, Mohammad Sadique, FARIDKOT(SC),17,9.5,12.9227,12.1496,12.1496,10.0311,104.116842,2.8916
342, Diya Kumari, RAJSAMAND,17,7,9.6062,14.0846,8.6167,8.7312,122.731429,0.875
343, Om Birla, KOTA,19.5,5,5.4031,7.4892,5.6969,2.4696,47.392,2.9335
344, Balak Nath, ALWAR,17,12,16.8032,22.7386,16.5199,14.3786,117.821667,2.4246
345, Chandra Prakash Joshi, CHITTORGARH,17,7,7.5032,13.0034,7.1649,6.1774,87.158571,1.3258
346, Kailash Choudhary, BARMER,17,9.5,10.0178,19.0155,10.5306,8.6005,88.531579,1.4173
347, Nihal Chand Chauhan, GANGANAGAR(SC),17,7,7.4576,11.1893,7.6015,5.186,72.085714,2.2716
348, Arjunlal Meena, UDAIPUR(ST),17,7,7.2291,7.0696,7.0695,6.3789,89.127143,0.8502
349, Arjun Ram Meghwal, BIKANER(SC),17,9.5,17.0028,23.3846,19.5082,13.5705,140.847368,3.4323
350, Ranjeeta Koli, BHARATPUR(SC),17,7,8.4226,11.5363,8.3914,6.9926,97.894286,1.43
351, Ramcharan Bohra, JAIPUR,17,7,7.45,9.2818,7.9818,5.8878,82.111429,1.5622
352, Devji Mansingram Patel, JALORE,17,9.5,10.028,10.9666,9.3098,9.4932,97.928421,0.5348
353, Sumedhanand Saraswati, SIKAR,17,9.5,9.7297,20.6701,9.2062,8.0418,82.650526,1.6879
354, Rajyavardhan Singh Rathore, JAIPUR RURAL,17,5,5.5219,7.2772,7.2572,4.0252,78.504,1.4967
355, Jaskaur Meena, DAUSA(ST),17,7,11.1101,11.4842,10.9551,11.0341,155.63,0.076
356, P.P. Chaudhary, PALI,17,7,7.2829,9.6703,7.8062,5.6371,78.53,1.6458
357, Kanakmal Katara, BANSWARA(ST),17,9.5,9.6553,20.2804,13.2401,7.3541,75.411579,2.3012
358, Dushyant Singh, JHALAWAR-BARAN,17,5,11.6237,14.0905,11.4405,9.4858,187.716,2.1379
359, Narendra Kumar, JHUNJHUNU,17,9.5,10.0961,16.5623,11.0297,7.7685,79.773684,2.3276
360, Bhagirath Chaudhary, AJMER,17,7,7.4738,15.4391,9.8423,5.1174,71.105714,2.3564
361, Rahul Kaswan, CHURU,17,9.5,13.0673,16.718,12.8066,10.6197,109.786316,2.4476
362, Manoj Rajoria, KARAULI-DHOLPUR(SC),19.5,5,10.8285,26.7182,9.3695,7.8753,155.506,2.9532
363, Hanuman Beniwal, NAGAUR,17,7,11.4161,13.3832,12.8707,11.2721,159.03,0.144
364, Subhash Chandra Baheria, BHILWARA,17,5,5.5043,6.5438,6.3762,5.4404,106.808,0.0639
365, Gajendra Singh Shekhawat, JODHPUR,22,7,7.8473,14.0922,7.349,6.4349,89.927143,1.4124
366, Sukhbir Singh Jaunapuria, TONK-SAWAI MADHOPUR,17,7,13.3398,16.8722,13.0572,10.421,146.871429,2.9188
367, Indra Hang Subba, SIKKIM,17,7,7.8625,12.4012,7.5412,7.6802,107.717143,0.1823
368, Ravikumar, D VILUPPURAM(SC),17,9.5,9.7243,12.6716,11.831,7.986,82.589474,1.7383
369, Kanimozhi Karunanidhi, THOOTHUKKUDI,17,7,7.3377,16.7135,14.087,6.785,96.928571,0.5527
370, Kathir Anand, DM VELLORE,14.5,7,7.1008,6.632,6.632,5.722,81.028571,1.3788
371, Ganesan Selvam, KANCHEEPURAM(SC),17,9.5,9.6398,16.8892,14.6722,9.0473,93.445263,0.5925
372, H. Vasanthakumar, KANNIYAKUMARI,10,5,5,7.8209,2.6575,3.058,59.16,1.942
373, P. Raveendranath Kumar, THENI,17,7,8.0624,16.6719,16.2081,7.0528,98.754286,1.0096
374, A. Ganeshamurthi, ERODE,17,7,7.236,16.1403,12.3725,7.0653,98.932857,0.1707
375, M Selvaraj,NAGAPATTINAM(SC),17,9.5,9.633,16.5521,13.3577,8.4943,87.94,1.1387
376,T.R.V.S. Ramesh,CUDDALORE,17,9.5,9.8995,11.7646,11.2885,9.3227,96.66,0.5768
377, Dayanidhi Maran, CHENNAI CENTRAL,17,7,8.7078,20.5118,16.7711,8.5292,121.845714,0.1786
378, S.S. Palanimanickam,THANJAVUR,17,7,7.2054,12.1854,9.5819,4.683,64.9,2.5224
379, K Jayakumar,TIRUVALLUR(SC),17,5,5.548,16.3648,12.5226,4.8422,94.844,0.7058
380, Vijayakumar alias Vijay Vasanth, KANNIYAKUMARI,12,2,2.1991,7.2688,6.8655,1.9573,95.865,0.2418
381, Kani K. Navas, RAMANATHAPURAM,17,5,5.7499,12.6842,11.8512,5.0399,98.798,0.71
382, S. Ramalingam,MAYILADUTHURAI,17,5,5.2876,17.0344,15.1594,5.1119,100.238,0.1757
383,A. Chellakumar,KRISHNAGIRI,17,7,7.2234,12.9197,12.2801,4.4944,62.205714,2.729
