Sl No,MP Name,Constituency ,Entitlement,FundReceivedGOI,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UtilizationOverRelease,UnspentBalance
476, Sangam Lal Gupta, PRATAPGARH,17,9.5,10.8724,10.474,10.474,8.6213,90.750526,2.2511
477, Afzal Ansari, GHAZIPUR,17,9.5,10.7964,10.2868,9.8363,8.5901,88.422105,2.2063
478, Hema Malini, MATHURA,17,7,8.5317,18.1762,18.1762,10.3921,146.458571,-1.8604
479, Subrata Pathak, KANNAUJ,17,9.5,11.4365,12.7062,10.8219,9.4754,97.741053,1.9611
480, Vijay Kumar Dubey, KUSHI NAGAR,17,12,12.3355,12.7406,11.7564,10.9654,89.378333,1.3701
481, Devendra alias Bhole Singh, AKBARPUR,17,9.5,10.0877,9.6763,9.6763,8.1319,83.598947,1.9558
482, Ram Shiromani, SHRAWASTI,17,5,6.1276,5.453,5.453,4.5329,88.658,1.5947
483, R.K. Singh Patel,BANDA,17,9.5,10.2349,10.05,9.8804,9.4007,96.954737,0.8342
484, Ravindra Kushawaha, SALEMPUR,17,7,8.4689,9.8581,8.1211,6.8342,95.631429,1.6347
485, Shyam Yadav Singh, JAUNPUR,17,7,8.2928,7.9696,7.9696,5.7353,79.932857,2.5575
486, General Dr.Vijay Kumar Singh Retd., GHAZIABAD,17,9.5,11.2857,20.0241,11.3428,7.4674,78.604211,3.8183
487, Brijbhushan Sharan Singh, KAISERGANJ,19.5,12,12.6553,12.0674,12.0674,12.3074,100.561667,0.3479
488, Ghanshyam Singh Lodhi, RAMPUR,14.5,9.5,10.1243,9.8419,9.8419,8.1784,84.088421,1.9459
489, Ramapati Ram Tripathi, DEORIA,17,9.5,9.7914,9.1749,9.1749,9.0693,93.466316,0.7221
490, Malook Nagar, BIJNOR,17,7,7.6397,6.5799,6.5499,4.7571,65.958571,2.8826
491, Praveen Kumar Nishad, SANT KABIR NAGAR,17,7,8.482,9.0174,7.3836,5.9777,83.395714,2.5043
492, Ajay (Teni) Misra, KHERI,17,12,12.3222,12.1064,12.068,12.1858,99.548333,0.1364
493, Atul Kumar Singh, GHOSI,17,7,7.4101,10.3638,6.5194,6.0787,84.838571,1.3314
