Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Assam,7,43,Smt. Bijoya Chakravarty,GUWAHATI,KAMRUP METROPOLITAN,25,25,0,2.93,4.03,2,2018-2019,12/2/19,2.5,,,2014,2019,16
Bihar,7,44, Mehboob Ali Kaiser,KHAGARIA,KHAGARIA,25,25,0,0.01,2.64,2,2018-2019,3/1/19,2.5,,,2014,2019,16
Bihar,7,45,Shri Ajay Nishad,MUZAFFARPUR,MUZAFFARPUR,25,25,0,0,2.85,2,2018-2019,17-07-2019,2.5,,,2014,2019,16
Bihar,7,46,Dr. Arun Kumar,JAHANABAD,JEHANABAD,25,22.5,2.5,-1.88,0.13,1,2018-2019,1/11/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Utilisation Certificate Pending.",2014,2019,16
Bihar,7,47,Dr. Sanjay Jaiswal,PASCHIM CHAMPARAN,BETTIAH (W.CHAMPARAN),25,25,0,0.49,2.77,2,2018-2019,30-06-2022,2.5,,,2014,2019,16
Bihar,7,48,Dr. Bhola Singh,BEGUSARAI,BEGUSARAI,25,25,0,-0.33,1.08,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Bihar,7,49,Shri Ashwini Kumar Choubey,BUXAR,BUXAR,25,25,0,0.15,1.42,2,2018-2019,20-06-2019,2.5,,,2014,2019,16
Bihar,7,50,Shri Asrarul Haque Mohammad,KISHANGANJ,KISHANGANJ,25,22.5,2.5,-1.91,0.19,2,2017-2018,28-06-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Utilisation Certificate Pending.",2014,2019,16
Bihar,7,51,Shri Birendra Kumar Choudhary,JHANJHARPUR,MADHUBANI,25,25,0,-0.34,0.48,2,2018-2019,4/9/19,2.5,,,2014,2019,16
Bihar,7,52,Shri Chhedi Paswan,SASARAM(SC),KAIMUR (BHABUA),25,25,0,-0.58,1.59,2,2018-2019,30-10-2018,2.5,,,2014,2019,16
Bihar,7,53,Shri Giriraj Singh,NAWADA,NAWADA,25,25,0,-0.7,2.72,2,2018-2019,11/2/19,2.5,,,2014,2019,16
Bihar,7,54,Shri Janak Ram,GOPALGANJ (SC),GOPALGANJ,25,25,0,0.71,1.54,2,2018-2019,9/7/19,2.5,,,2014,2019,16
Bihar,7,55,Shri Chirag Paswan,JAMUI(SC),JAMUI,25,22.5,2.5,-2.35,2.51,1,2018-2019,27-05-2022,2.5,2 / 2018-2019,,2014,2019,16
Bihar,7,56,Shri Kaushalendra Kumar,NALANDA,BIHAR SHARIF/NALANDA,25,25,0,0.21,0.53,2,2018-2019,5/8/19,2.5,,,2014,2019,16
Bihar,7,57,Shri Hari Manjhi,GAYA (SC),GAYA,25,25,0,0.06,2.53,2,2018-2019,30-05-2022,2.5,,,2014,2019,16
Bihar,7,58,Shri Hukmdev Narayan Yadav,MADHUBANI,MADHUBANI,25,25,0,-0.26,0.24,2,2018-2019,13-12-2018,2.5,,,2014,2019,16
Bihar,7,59,Shri Janardan Singh Sigriwal,MAHARAJGANJ,SARAN,32.5,30,2.5,-6.77,-0.72,2,2017-2018,19-06-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Utilisation Certificate Pending.",2014,2019,16
Bihar,7,60,Shri Kirti (JHA) Azad,DARBHANGA,DARBANGA,25,25,0,-0.72,2.19,2,2018-2019,31-03-2021,2.5,,,2014,2019,16
Bihar,7,61,Shri Jay Prakash Narayan Yadav,BANKA,BANKA,25,25,0,0.05,0.84,2,2018-2019,26-06-2019,2.5,,,2014,2019,16
Bihar,7,62,Shri Nityanand Rai,UJJARPUR,SAMASTIPUR,25,25,0,-0.22,2.51,2,2018-2019,27-06-2022,2.5,,,2014,2019,16
Bihar,7,63,Shri Rama Kishore Singh,VAISHALI,MUZAFFARPUR,25,25,0,0.01,2.52,2,2018-2019,13-06-2019,2.5,,,2014,2019,16
Bihar,7,64,Shri Om Prakash Yadav,SIWAN,SIWAN,25,25,0,-0.11,4.19,2,2018-2019,13-09-2019,2.5,,,2014,2019,16
Bihar,7,65,Shri Rajiv Pratap Rudy,SARAN,SARAN,32.5,15,17.5,-15.9,0.01,1,2015-2016,21-08-2019,2.5,"1 / 2016-2017,1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2015-2016,2 / 2017-2018,2 / 2016-2017","Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Bihar,7,66,Shri Raj Kumar Singh,ARRAH,BHOJPUR(ARRAH),25,22.5,2.5,-1.23,3,2,2017-2018,27-06-2022,2.5,2 / 2018-2019,,2014,2019,16
Bihar,7,67,Shri Radha Mohan Singh,PURVI CHAMPARAN,MOTHIHARI (E.CHAMPARAN),25,22.5,2.5,-2.5,5,2,2017-2018,30-08-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Utilisation Certificate Pending.",2014,2019,16
Bihar,7,68,Shri Rajesh Ranjan  (Pappu  Yadav),MADHEPURA,MADHEPURA,25,25,0,-0.25,1.53,2,2018-2019,11/2/19,2.5,,,2014,2019,16
Bihar,7,69,Shri Ram Kumar Sharma Kushwaha,SITAMARHI,SITAMARHI,25,17.5,7.5,-6.64,2.55,1,2017-2018,27-05-2022,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
