Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Maharashtra,7,253,Prof. Ravindra Vishwanath Gaikwad,OSMANABAD,OSMANABAD,25,25,0,1.31,2.57,2,2018-2019,17-06-2022,2.5,,,2014,2019,16
Maharashtra,7,254,Dr. Heena Vijaykumar Gavit,NANDURBAR(ST),NANDURBAR,25,22.5,2.5,-1.95,0.02,2,2018-2019,8/8/22,2.5,,,2014,2019,16
Maharashtra,7,255,Dr. Shrikant Eknath Shinde,KALYAN,THANE,25,22.5,2.5,-2.53,0,1,2018-2019,17-07-2019,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,256,Ms. Bhavana Gawali (Patil),YAVATMAL-WASHIM,WASIM,25,22.5,2.5,-2.5,5.38,1,2018-2019,20-12-2019,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,257,Shri A.T. (Nana) Patil,JALGAON,JALGAON,25,25,0,0.82,3.53,2,2018-2019,29-06-2022,2.5,,,2014,2019,16
Maharashtra,7,258,Shri Anant Gangaram Geete,RAIGAD,RAIGAD,25,25,0,1.14,1.84,2,2018-2019,17-09-2019,2.5,,,2014,2019,16
Maharashtra,7,259,Shri Anandrao Adsul,AMRAVATI(SC),AMRAVATI,25,22.5,2.5,-2.36,2.12,1,2018-2019,4/2/22,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,260,Dr Pritam Gopinath Munde,BEED,BEED,25,17.5,7.5,-6.74,0.19,2,2016-2017,12/6/19,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
Maharashtra,7,261,Dr. Sunil Baliram Gaikwad,LATUR(SC),LATUR,25,22.5,2.5,-1.55,2.54,1,2018-2019,15-07-2019,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,262,Shri Ashok Mahadeorao Nete,GADCHIROLI-CHIMUR(ST),GARCHIROLI,25,22.5,2.5,-2.2,0.11,1,2018-2019,3/9/19,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,263,Shri Arvind Ganpat Sawant,MUMBAI SOUTH,MUMBAI CITY,25,25,0,-0.18,2.56,2,2018-2019,25-03-2022,2.5,,,2014,2019,16
Maharashtra,7,264,Shri Ashok Shankarrao Chavan,NANDED,NANDED,25,22.5,2.5,-1.65,2.66,1,2018-2019,30-05-2022,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,265,Shri Chandrakant Bhaurao Khaire,AURANGABAD,AURANGABAD,25,25,0,0.86,4.29,2,2018-2019,11/3/22,2.5,,,2014,2019,16
Maharashtra,7,266,Shri Gajanan Chandrakant Kirtikar,MUMBAI NORTH WEST,MUMBAI SUBURBAN,25,22.5,2.5,-4.08,3.36,1,2018-2019,31-03-2021,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,267,Shri Chandu  Barne Shrirang,MAVAL,PUNE,25,25,0,-0.11,2.92,2,2018-2019,30-05-2022,2.5,,,2014,2019,16
Maharashtra,7,268,Shri Anil Shirole,PUNE,PUNE,25,22.5,2.5,-2.89,0.07,1,2018-2019,14-08-2019,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,269,Shri Chintaman Navsha Wanaga,PALGHAR(ST),Palghar,20,17.5,2.5,2.4,2.6,1,2017-2018,30-10-2018,2.5,2 / 2017-2018,,2014,2019,16
Maharashtra,7,270,Shri Harishchandra Deoram Chavan,DINDORI(ST),NASHIK,25,22.5,2.5,-2.38,0.05,1,2018-2019,6/11/19,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,271,Shri Dhananjay Bhimrao Mahadik,KOLHAPUR,KOLHAPUR,25,22.5,2.5,-1.99,2.48,1,2018-2019,17-06-2022,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,272,Shri Hansraj Gangaram Ahir,CHANDRAPUR,CHANDRAPUR,25,25,0,0,3.34,2,2018-2019,27-06-2019,2.5,,,2014,2019,16
Maharashtra,7,273,Shri Hemant Tukaram Godse,NASHIK,NASHIK,25,22.5,2.5,-1.76,0.48,1,2018-2019,29-10-2019,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,274,Shri Gopal Chinayya Shetty,MUMBAI NORTH,MUMBAI SUBURBAN,25,22.5,2.5,-2.45,0.49,1,2018-2019,24-06-2022,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,275,Shri Dilip Kumar Mansukhlal Gandhi,AHMEDNAGAR,AHMADNAGAR,25,22.5,2.5,-2.27,0.45,2,2018-2019,2/8/22,2.5,,,2014,2019,16
Maharashtra,7,276,Shri Kapil Moreshwar Patil,BHIWANDI,THANE,25,22.5,2.5,-2.3,0,2,2018-2019,5/8/22,2.5,,,2014,2019,16
Maharashtra,7,277,Shri Krupal Balaji Tumane,RAMTEK(SC),NAGPUR,25,22.5,2.5,-2,3.23,1,2018-2019,14-08-2019,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,278,Shri Rajendra Dhedya Gavit,PALGHAR(ST),Palghar,5,5,0,0.41,0.64,2,2018-2019,12/2/19,2.5,,,2014,2019,16
Maharashtra,7,279,Shri Prataprao Ganpatrao Jadhav,BULDHANA,BULDANA,25,25,0,1.76,2.51,2,2018-2019,2/6/22,2.5,,,2014,2019,16
Maharashtra,7,280,Shri Rajeev Shankarrao Satav,HINGOLI,HINGOLI,25,22.5,2.5,-1.09,0.65,1,2018-2019,10/6/19,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,281,Shri Madhukarrao Yashwantrao Kukde,BHANDARA-GONDIYA,BHANDARA,5,5,0,2.85,3.53,2,2018-2019,13-02-2019,2.5,,,2014,2019,16
Maharashtra,7,282,Shri Nanabhau Falgunrao Patole,BHANDARA-GONDIYA,BHANDARA,17.5,17.5,0,17.5,17.5,2,2016-2017,17-07-2018,2.5,,,2014,2019,16
Maharashtra,7,283,Shri Nitin Jairam Gadkari,NAGPUR,NAGPUR,25,22.5,2.5,-1.97,2.9,1,2018-2019,7/8/19,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,284,Shri Rahul Ramesh Shewale,MUMBAI SOUTH CENTRAL,MUMBAI SUBURBAN,25,22.5,2.5,-2.86,2.55,1,2018-2019,22-06-2022,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,285,Shri Sanjay(Kaka) Ramchandra Patil,SANGLI,SANGLI,25,22.5,2.5,-2.61,1.56,2,2017-2018,30-08-2019,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,286,Shri Ramdas Chandrabhanji Tadas,WARDHA,WARDHA,25,25,0,0.66,4.14,2,2018-2019,17-01-2019,2.5,,,2014,2019,16
Maharashtra,7,287,Shri Raju alias Devappa Anna Shetti,HATKANANGLE,KOLHAPUR,25,25,0,-0.16,2.48,2,2018-2019,17-06-2022,2.5,,,2014,2019,16
Maharashtra,7,288,Shri Raosaheb Patil Danve,JALNA,JALNA,25,22.5,2.5,-1.57,5.18,1,2018-2019,9/3/22,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,289,Shri Sanjay Shamrao Dhotre,AKOLA,AKOLA,25,22.5,2.5,-2.43,2.51,1,2018-2019,25-03-2022,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,290,Shri Rajan Baburao Vichare,THANE,THANE,25,22.5,2.5,-2.7,0.04,1,2018-2019,17-07-2019,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,291,Shri Sanjay Haribhau Jadhav,PARBHANI,PARBHANI,25,25,0,0.1,2.37,2,2018-2019,30-05-2022,2.5,,,2014,2019,16
Maharashtra,7,292,Shri Shivaji Adhalrao Patil,SHIRUR,PUNE,25,22.5,2.5,-2.93,2.53,1,2018-2019,21-03-2022,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,293,Shri Udayanraje  Pratapsingh Bhonsle,SATARA,SATARA,25,22.5,2.5,-1.74,5.01,1,2018-2019,14-02-2022,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,294,Shri Vijaysinh Mohite Patil,MADHA,SOLAPUR,25,22.5,2.5,-2.05,5.3,1,2018-2019,19-02-2020,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,295,Shri Sadashiv Kisan Lokhande,SHIRDI(SC),AHMADNAGAR,25,22.5,2.5,-2.78,0,2,2018-2019,2/8/22,2.5,,,2014,2019,16
Maharashtra,7,296,Shri Sharad Bansode,SOLAPUR(SC),SOLAPUR,25,22.5,2.5,-1.91,5.02,1,2018-2019,2/3/20,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,297,Smt. Supriya Sadanand Sule,BARAMATI,PUNE,25,22.5,2.5,-2.38,5.01,1,2018-2019,14-03-2022,2.5,2 / 2018-2019,,2014,2019,16
Maharashtra,7,298,Smt. Poonam Mahajan,MUMBAI NORTH-CENTRAL,MUMBAI SUBURBAN,25,25,0,-3.13,0.42,2,2018-2019,25-07-2019,2.5,,,2014,2019,16
Maharashtra,7,299,Smt. Raksha Nikhil Khadse,RAVER,JALGAON,25,25,0,1.31,2.51,2,2018-2019,29-06-2022,2.5,,,2014,2019,16
Maharashtra,7,300,Shri Vinayak Bhaurao Raut,RATNAGIRI-SINDHUDURG,SINDHUDURG,25,22.5,2.5,-2.28,2.56,1,2018-2019,23-03-2022,2.5,2 / 2018-2019,,2014,2019,16
Manipur,7,301,Dr. Thokchom Meinya,INNER MANIPUR,IMPHAL WEST,25,25,0,-0.2,0.27,2,2018-2019,27-11-2018,2.5,,,2014,2019,16
Manipur,7,302,Shri Thangso Baite,OUTER MANIPUR(ST),CHURACHANDPUR,25,25,0,0.27,0.77,2,2018-2019,24-12-2018,2.5,,,2014,2019,16
Meghalaya,7,303,Shri Conrad Kongkal Sangma,TURA,WEST GARO HILLS,15,12.5,2.5,0.79,0.92,1,2018-2019,11/6/19,2.5,2 / 2018-2019,,2014,2019,16
Meghalaya,7,304,Shri Purno Agitok Sangma,TURA,WEST GARO HILLS,10,10,0,0.13,0.13,2,2015-2016,27-01-2016,2.5,,,2014,2019,16
Meghalaya,7,305,Shri Vincent H Pala,SHILLONG,EAST KHASI HILLS,25,25,0,1.88,3.06,2,2018-2019,11/3/20,2.5,,,2014,2019,16
Mizoram,7,306,Shri C. L. Ruala,MIZORAM (ST),AIZAWL,25,25,0,0.14,0.18,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Nagaland,7,307,Shri Neiphiu Rio,NAGALAND,DIMAPUR,20,20,0,0.12,0,2,2017-2018,4/10/17,2.5,,,2014,2019,16
Nagaland,7,308,Shri Tokheho ,NAGALAND,DIMAPUR,5,5,0,0.02,0.02,2,2018-2019,27-11-2018,2.5,,,2014,2019,16
Nominated,7,309,Prof.(Dr.) Richard Hay,CENTRAL1,THIRUVANANTHAPURAM,17.5,17.5,0,1.59,2.58,2,2018-2019,29-03-2022,2.5,,,2014,2019,16
Nominated,7,310,Shri George Baker,CENTRAL2,SOUTH TWENTY FOUR PARGANAS,17.5,17.5,0,0.16,3.78,2,2018-2019,28-02-2022,2.5,,,2014,2019,16
Odisha,7,311,Dr. Kulamani Samal,JAGATSINGHPUR(SC),JAGATSINGHPUR,25,25,0,0.34,1.14,2,2018-2019,7/2/19,2.5,,,2014,2019,16
Odisha,7,312,Dr. Prabhas Kumar Singh,BARGARH,BARAGARH,25,25,0,0.07,0.57,2,2018-2019,7/8/19,2.5,,,2014,2019,16
Odisha,7,313,"Shri Baijayant ""Jay"" Panda",KENDRAPARA,KENDRAPARA,22.5,17.5,5,0.45,1.88,1,2017-2018,16-03-2018,2.5,"1 / 2018-2019,2 / 2017-2018",,2014,2019,16
Odisha,7,314,Shri Arjun Charan Sethi,BHADRAK(SC),BHADRAK,25,25,0,2.56,2.88,2,2018-2019,1/7/19,2.5,,,2014,2019,16
Odisha,7,315,Shri Bhartruhari Mahtab,CUTTACK,CUTTACK,25,22.5,2.5,2.51,2.71,1,2018-2019,2/3/20,2.5,2 / 2018-2019,,2014,2019,16
Odisha,7,316,Shri Arka Keshari Deo,KALAHANDI,KALAHANDI,25,25,0,0.21,4.17,2,2018-2019,29-06-2022,2.5,,,2014,2019,16
Odisha,7,317,Shri Balabhadra Majhi,NABARANGPUR(ST),NABARANGPUR,25,25,0,0.5,3.89,2,2018-2019,27-02-2020,2.5,,,2014,2019,16
Odisha,7,318,Shri Jual Oram,SUNDARGARH (ST),SUNDARGARH,25,25,0,-0.15,4.68,2,2018-2019,31-07-2019,2.5,,,2014,2019,16
Odisha,7,319,Shri Jhina Hikaka,KORAPUT(ST),RAYAGADA,25,12.5,12.5,5.16,5.49,2,2015-2016,15-12-2017,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017",,2014,2019,16
Odisha,7,320,Shri Kalikesh Narayan Singh Deo,BOLANGIR,BOLANGIR,25,25,0,1.62,4.81,2,2018-2019,7/8/19,2.5,,,2014,2019,16
Odisha,7,321,Shri Hemendra Chandra Singh,KANDHAMAL,KANDHAMAL,,,,0,0,,,,0,,,2014,2019,16
Odisha,7,322,Shri Nagendra Kumar Pradhan,SAMBALPUR,ANGUL,25,17.5,7.5,0.02,0.02,1,2017-2018,20-09-2018,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
Odisha,7,323,Shri Rabindra Kumar Jena,BALASORE,BALASORE,25,25,0,2.24,4.3,2,2018-2019,11/3/20,2.5,,,2014,2019,16
Odisha,7,324,Shri Ladu Kishore Swain,ASKA,GANJAM,25,22.5,2.5,-0.32,3.47,1,2018-2019,30-06-2022,2.5,2 / 2018-2019,,2014,2019,16
Odisha,7,325,Shri Pinaki Misra,PURI,PURI,25,25,0,0.92,3.27,2,2018-2019,21-08-2019,2.5,,,2014,2019,16
Odisha,7,326,Shri Rama Chandra Hansdah,MAYURBHANJ (ST),MAYURBHANJ,25,25,0,-0.15,3.84,2,2018-2019,6/3/20,2.5,,,2014,2019,16
Odisha,7,327,Shri Prasanna Kumar Patasani,BHUBANESWAR,KHORDHA,25,25,0,3.47,4.96,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Odisha,7,328,Shri Tathagata Satpathy,DHENKANAL,DHENKANAL,25,22.5,2.5,0.12,2.16,1,2018-2019,27-02-2020,2.5,2 / 2018-2019,,2014,2019,16
Odisha,7,329,Smt Pratyusha Rajeshwari Singh,KANDHAMAL,KANDHAMAL,25,22.5,2.5,2.51,4.27,1,2018-2019,11/2/19,2.5,2 / 2018-2019,,2014,2019,16
Odisha,7,330,Shri Sidhant Mohapatra,BERHAMPUR,GANJAM,25,22.5,2.5,-1.91,3.06,1,2018-2019,23-06-2022,2.5,2 / 2018-2019,,2014,2019,16
Odisha,7,331,Smt. Sakuntala Laguri,KEONJHAR(ST),KEONJHAR,25,25,0,0.13,2.88,2,2018-2019,31-05-2022,2.5,,,2014,2019,16
Odisha,7,332,Smt. Rita Tarai,JAJPUR(SC),JAJPUR,25,22.5,2.5,2.49,3.77,1,2018-2019,25-03-2022,2.5,2 / 2018-2019,,2014,2019,16
Puducherry,7,333,Shri R. Radhakrishnan,PONDICHERRY,PONDICHERRY,25,25,0,-0.85,3.78,2,2018-2019,27-05-2022,2.5,,,2014,2019,16
Punjab,7,334,Prof. Sadhu Singh,FARIDKOT(SC),FARIDKOT,25,25,0,3.04,3.09,2,2018-2019,27-05-2019,2.5,,,2014,2019,16
Punjab,7,335, Amarinder Singh,AMRITSAR,AMRITSAR,15,15,0,1.92,2.42,2,2016-2017,22-12-2016,2.5,,,2014,2019,16
Punjab,7,336,Dr. Dharam Vira Gandhi,PATIALA,PATIALA,25,25,0,0.52,0.77,2,2018-2019,3/10/18,2.5,,,2014,2019,16
Punjab,7,337,Shri Bhagwant Mann,SANGRUR,SANGRUR,25,25,0,0.47,1.31,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Punjab,7,338,Shri Gurjeet Singh Aujla,AMRITSAR,AMRITSAR,10,10,0,2.72,4.34,2,2018-2019,8/10/18,2.5,,,2014,2019,16
Punjab,7,339,Shri Harinder Singh Khalsa,FATEHGARH SAHIB(SC),LUDHIANA,25,25,0,0.5,2.9,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Punjab,7,340,Shri Prem Singh Chandumajra,ANANDPUR SAHIB,SAHIBZADA AJIT SINGH NAGAR,25,25,0,1.13,1.38,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Punjab,7,341,Shri Santokh Singh Chaudhary,JALANDHAR(SC),JALANDHAR,25,25,0,0.58,1.35,2,2018-2019,10/6/19,2.5,,,2014,2019,16
Punjab,7,342,Shri Ranjit Singh Brahmpura,KHADOOR SAHIB,TARN TARAN,25,25,0,1.28,1.55,2,2018-2019,10/6/19,2.5,,,2014,2019,16
Punjab,7,343,Shri Ravneet Singh,LUDHIANA,LUDHIANA,25,25,0,0.26,2,2,2018-2019,13-02-2019,2.5,,,2014,2019,16
Punjab,7,344,Shri Sher Singh Ghubaya,FIROZPUR,FIROZEPUR,25,25,0,0.26,0.36,2,2018-2019,17-09-2018,2.5,,,2014,2019,16
Punjab,7,345,Shri Vijay Sampla,HOSHIARPUR(SC),HOSHIARPUR,25,22.5,2.5,0.14,0.33,1,2018-2019,25-01-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Bank Statement Awaited, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Punjab,7,346,Smt. Harsimrat Kaur Badal,BHATINDA,BHATINDA,25,25,0,1.55,1.76,2,2018-2019,1/11/19,2.5,,,2014,2019,16
Punjab,7,347,Shri Sunil Kumar Jakhar,GURDASPUR,GURDASPUR,15,12.5,2.5,-2.17,2.94,1,2018-2019,18-05-2022,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Punjab,7,348,Shri Vinod Khanna,GURDASPUR,PATHANKOT,10,10,0,2.25,3.85,2,2015-2016,29-06-2017,2.5,,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,349, Rajyavardhan Singh Rathore,JAIPUR RURAL,JAIPUR,25,22.5,2.5,-2.42,5.03,1,2018-2019,31-12-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,350, Sona Ram Choudhary,BARMER,BARMER,25,17.5,7.5,0.28,0.67,1,2017-2018,10/4/18,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,351,Dr Karan Singh Yadav,ALWAR,ALWAR,20,17.5,2.5,17.68,17.64,1,2018-2019,10/4/18,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,352,Shri Arjunlal Meena,UDAIPUR(ST),UDAIPUR,25,25,0,-1,2.54,2,2018-2019,27-02-2020,2.5,,,2014,2019,16
Rajasthan,7,353,Shri Bahadur Singh Koli,BHARATPUR(SC),BHARATPUR,25,25,0,0.57,3.97,2,2018-2019,10/10/19,2.5,,,2014,2019,16
Rajasthan,7,354,Dr. Manoj Rajoria,KARAULI-DHOLPUR(SC),KARAULI,25,22.5,2.5,0.94,0.68,1,2018-2019,10/6/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,355,Dr.(Shri) Raghu Sharma,AJMER,AJMER,5,5,0,2.23,3.73,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Rajasthan,7,356,Shri Chandra Prakash Joshi,CHITTORGARH,CHITTORGARH,25,25,0,2.01,2.01,2,2018-2019,10/6/19,2.5,,,2014,2019,16
Rajasthan,7,357,Shri C.R. Chaudhary,NAGAUR,NAGAUR,25,22.5,2.5,-3.19,0.16,2,2017-2018,3/10/18,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,358,Shri Dushyant Singh,JHALAWAR-BARAN,JHALAWAR,25,22.5,2.5,-1.43,0.29,2,2017-2018,21-12-2018,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,359,Shri Arjun Ram Meghwal,BIKANER(SC),BIKANER,25,25,0,0,3.31,2,2018-2019,31-10-2019,2.5,,,2014,2019,16
Rajasthan,7,360,Shri Hariom Singh Rathore,RAJSAMAND,RAJSAMAND,25,22.5,2.5,0.93,2.58,1,2018-2019,30-03-2020,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,361,Shri Harish Chandra Meena,DAUSA(ST),DAUSA,25,22.5,2.5,0.14,1.96,2,2017-2018,20-12-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,362,Shri Chand Nath,ALWAR,ALWAR,2.5,2.5,0,2.63,2.63,1,2014-2015,20-11-2014,2.5,,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,363,Shri Devji Mansingram Patel,JALORE,JALORE,25,20,5,-1.07,0.77,2,2017-2018,11/6/19,2.5,"1 / 2018-2019,2 / 2018-2019","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,364,Shri Gajendra Singh Shekhawat,JODHPUR,JODHPUR,25,20,5,0.8,2,2,2017-2018,1/11/19,2.5,"1 / 2018-2019,2 / 2018-2019","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,365,Shri Manshankar Ninama,BANSWARA(ST),BANSWARA,25,25,0,-0.15,3.44,2,2018-2019,30-01-2020,2.5,,,2014,2019,16
Rajasthan,7,366,Shri Nihal Chand Chauhan,GANGANAGAR(SC),SRIGANGANAGAR,25,25,0,-0.38,0.75,2,2018-2019,5/10/18,2.5,,,2014,2019,16
Rajasthan,7,367,Shri P.P. Chaudhary,PALI,PALI,25,25,0,0.28,2.24,2,2018-2019,10/6/19,2.5,,,2014,2019,16
Rajasthan,7,368,Shri Om Birla,KOTA,KOTA,25,20,5,-1.85,2.64,2,2017-2018,3/6/22,2.5,"1 / 2018-2019,2 / 2018-2019",,2014,2019,16
Rajasthan,7,369,Shri Rahul Kaswan,CHURU,CHURU,25,25,0,2.17,3.44,2,2018-2019,10/5/22,2.5,,,2014,2019,16
Rajasthan,7,370,Shri Sanwar Lal Jat,AJMER,AJMER,20,20,0,1.32,2.65,2,2017-2018,16-08-2018,2.5,,,2014,2019,16
Rajasthan,7,371,Shri Sukhbir Singh Jaunpuria,TONK-SAWAI MADHOPUR,TONK,25,25,0,0.56,4.46,2,2018-2019,15-11-2019,2.5,,,2014,2019,16
Rajasthan,7,372,Shri Ramcharan Bohara,JAIPUR,JAIPUR,25,17.5,7.5,-6.64,3.24,1,2017-2018,20-03-2020,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,373,Shri Subhash Chandra Baheria,BHILWARA,BHILWARA,25,22.5,2.5,-1.95,5.04,1,2018-2019,14-08-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Rajasthan,7,374,Shri Sumedhanand Saraswati,SIKAR,SIKAR,25,25,0,1.98,3.94,2,2018-2019,27-06-2022,2.5,,,2014,2019,16
Rajasthan,7,375,Smt. Santosh Ahlawat,JHUNJHUNU,JHUNJHUNU,27.5,25,2.5,-2.22,0.07,2,2018-2019,8/8/22,2.5,,,2014,2019,16
Sikkim,7,376,Shri Prem Das Rai,SIKKIM,EAST DISTRICT,25,25,0,0.37,0.95,2,2018-2019,31-03-2021,2.5,,,2014,2019,16
Tamil Nadu,7,377,Dr. K. Kamaraaj,KALLAKURICHI,VILLUPURAM,25,25,0,0.32,2.51,2,2018-2019,24-03-2022,2.5,,,2014,2019,16
Tamil Nadu,7,378,Dr. Munisamy Thambidurai,KARUR,KARUR,25,22.5,2.5,0.36,0.72,1,2018-2019,31-07-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Tamil Nadu,7,379,Shri A. Arunmozhithevan,CUDDALORE,CUDDALORE,25,25,0,-0.07,0.39,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Tamil Nadu,7,380,Dr. Ponnusamy Venugopal,TIRUVALLUR(SC),TIRUVALLUR,25,22.5,2.5,-0.92,0.16,1,2018-2019,24-09-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Tamil Nadu,7,381,Dr. Anbumani Ramadoss,DHARAMAPURI,DHARMAPURI,25,25,0,0.28,2.59,2,2018-2019,21-03-2022,2.5,,,2014,2019,16
Tamil Nadu,7,382,Dr. K. Gopal,NAGAPATTINAM(SC),THIRUVARUR,25,25,0,0.13,0.16,2,2018-2019,7/8/19,2.5,,,2014,2019,16
Tamil Nadu,7,383,Dr. Jayakumar Jayavardhan,CHENNAI SOUTH,CHENNAI,25,22.5,2.5,-0.71,0.06,1,2018-2019,12/9/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Tamil Nadu,7,384,Shri C. Mahendran,POLLACHI,TIRUPUR,25,25,0,1.48,2.73,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Tamil Nadu,7,385,Shri Elumalai Vellaigounder,ARANI,TIRUVANNAMALAI,25,25,0,0.25,2.92,2,2018-2019,21-03-2022,2.5,,,2014,2019,16
Tamil Nadu,7,386,Shri Balasubramaniam Senguttuvan,VELLORE,VELLORE,25,25,0,0.54,2.54,2,2018-2019,15-06-2022,2.5,,,2014,2019,16
Tamil Nadu,7,387,Shri Gopalakrishnan Chinnaraj,NILGIRIS(SC),NILGIRIS,25,22.5,2.5,-1.51,0.48,1,2018-2019,29-05-2018,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Tamil Nadu,7,388,Shri Anwhar Raajhaa,RAMANATHAPURAM,RAMANATHAPURAM,25,25,0,0.12,1,2,2018-2019,14-02-2020,2.5,,,2014,2019,16
Tamil Nadu,7,389,Shri G. Hari,ARAKKONAM,VELLORE,25,25,0,0.72,2.53,2,2018-2019,30-03-2020,2.5,,,2014,2019,16
Tamil Nadu,7,390,Shri J. Jayasingh Thiyagaraj Natterjee,THOOTHUKKUDI,TUTICORIN,25,25,0,0.27,2.88,2,2018-2019,9/10/19,2.5,,,2014,2019,16
Tamil Nadu,7,391,Shri K. Ashok Kumar,KRISHNAGIRI,KRISHNAGIRI,25,25,0,0.52,2.46,2,2018-2019,17-12-2018,2.5,,,2014,2019,16
Tamil Nadu,7,392,Shri Krishnan Narayanasamy Ramachandran,SRIPERUMBUDUR,KANCHIPURAM,30,30,0,1.38,3.13,2,2018-2019,8/6/22,2.5,,,2014,2019,16
